Order_ID,Order_Date,Region,Country,Sales_Channel,Product_Model,Category,Gender,Shoe_Size,Color,Quantity,List_Price_USD,Discount_Percent,Unit_Selling_Price_USD,Revenue_USD,Estimated_Cost_USD,Profit_USD,Customer_Rating,Return_Flag,Payment_Method,Month,Month_Name,Quarter,Month_Year,Is_Returned
NK011,2025-04-23,Asia-Pacific,India,Online,Pegasus 41,Running,Men,11,White,1,140,5,133.0,133.0,87.86,45.14,4.5,No,Credit Card,4,Apr,2,2025-04,False
NK012,2025-05-06,North America,Canada,Retail Store,Structure 25,Running,Women,10,Blue,1,140,5,133.0,133.0,78.34,54.66,4.0,No,Debit Card,5,May,2,2025-05,False
NK013,2025-05-24,Asia-Pacific,India,Online,Air Max 90,Lifestyle,Women,7,Blue,1,130,25,97.5,97.5,66.62,30.88,4.0,No,Credit Card,5,May,2,2025-05,False
NK014,2025-12-26,Europe,UK,Retail Store,Free Metcon 6,Training,Women,6,Green,1,130,20,104.0,104.0,64.85,39.15,4.5,No,Credit Card,12,Dec,4,2025-12,False
NK015,2025-02-06,Middle East & Africa,Egypt,Retail Store,Free Metcon 6,Training,Men,7,Red,1,120,5,114.0,114.0,79.74,34.26,4.5,No,PayPal,2,Feb,1,2025-02,False
NK016,2025-12-06,Europe,France,Online,Structure 25,Running,Unisex,13,Grey,1,140,0,140.0,140.0,97.96,42.04,4.0,No,Credit Card,12,Dec,4,2025-12,False
NK017,2025-10-31,Asia-Pacific,South Korea,Online,Air Max 270,Lifestyle,Women,7,Black,1,150,0,150.0,150.0,92.82,57.18,4.0,No,Debit Card,10,Oct,4,2025-10,False
NK018,2025-09-21,Europe,France,Online,LeBron 22,Basketball,Men,5,Blue,4,220,10,198.0,792.0,488.94,303.06,4.5,No,PayPal,9,Sep,3,2025-09,False
NK019,2025-06-07,Asia-Pacific,Singapore,Online,Giannis Immortality 4,Basketball,Unisex,13,Grey,1,90,15,76.5,76.5,55.0,21.5,5.0,No,Debit Card,6,Jun,2,2025-06,False
NK020,2025-06-10,Asia-Pacific,Australia,Online,Pegasus 41,Running,Women,10,White,1,140,5,133.0,0.0,0.0,0.0,5.0,Yes,Credit Card,6,Jun,2,2025-06,True
NK021,2025-09-30,Asia-Pacific,India,Online,Air Max 270,Lifestyle,Women,11,Grey,1,160,5,152.0,0.0,0.0,0.0,4.0,Yes,Debit Card,9,Sep,3,2025-09,True
NK022,2025-09-21,Latin America,Colombia,Online,Air Max 270,Lifestyle,Men,7,Blue,2,160,0,160.0,320.0,178.83,141.17,4.5,No,Debit Card,9,Sep,3,2025-09,False
NK023,2025-06-29,North America,Canada,Retail Store,Cortez,Lifestyle,Men,9,Black,1,120,5,114.0,114.0,59.98,54.02,5.0,No,Credit Card,6,Jun,2,2025-06,False
NK024,2025-11-04,Asia-Pacific,Singapore,Wholesale,Giannis Immortality 4,Basketball,Women,7,Black,1,100,0,100.0,100.0,65.99,34.01,4.5,No,Debit Card,11,Nov,4,2025-11,False
NK025,2025-05-09,North America,Canada,Wholesale,Free Metcon 6,Training,Women,10,Black,1,140,0,140.0,140.0,92.08,47.92,4.5,No,Credit Card,5,May,2,2025-05,False
NK026,2025-03-27,Asia-Pacific,India,Online,Sabrina 3,Basketball,Men,5,Green,1,150,15,127.5,127.5,80.73,46.77,5.0,No,UPI,3,Mar,1,2025-03,False
NK027,2025-01-23,North America,Canada,Retail Store,Giannis Immortality 4,Basketball,Women,6,Blue,1,100,10,90.0,90.0,54.61,35.39,4.5,No,UPI,1,Jan,1,2025-01,False
NK028,2025-06-09,Europe,France,Retail Store,Free Metcon 6,Training,Women,7,Blue,1,140,0,140.0,140.0,90.79,49.21,4.0,No,UPI,6,Jun,2,2025-06,False
NK029,2025-01-12,Middle East & Africa,South Africa,Online,LeBron 22,Basketball,Men,6,Red,1,190,10,171.0,171.0,98.29,72.71,4.5,No,UPI,1,Jan,1,2025-01,False
NK030,2025-04-24,Latin America,Brazil,Wholesale,Sabrina 3,Basketball,Men,13,Grey,1,130,5,123.5,123.5,81.33,42.17,5.0,No,Debit Card,4,Apr,2,2025-04,False
NK031,2025-04-06,Asia-Pacific,Singapore,Online,Pegasus 41,Running,Women,11,Black,1,130,15,110.5,110.5,62.99,47.51,4.0,No,Debit Card,4,Apr,2,2025-04,False
NK032,2025-08-21,Europe,France,Online,Air Max 90,Lifestyle,Men,8,Red,1,150,5,142.5,142.5,75.62,66.88,4.5,No,Credit Card,8,Aug,3,2025-08,False
NK033,2025-02-08,North America,USA,Wholesale,Pegasus 41,Running,Unisex,9,Red,3,140,5,133.0,399.0,269.83,129.17,5.0,No,Debit Card,2,Feb,1,2025-02,False
NK034,2025-05-21,Middle East & Africa,Egypt,Online,Air Max 270,Lifestyle,Unisex,6,Grey,1,160,10,144.0,144.0,77.3,66.7,4.5,No,Credit Card,5,May,2,2025-05,False
NK035,2025-10-19,Europe,Italy,Online,Structure 25,Running,Women,10,Red,3,140,5,133.0,399.0,254.71,144.29,4.0,No,Credit Card,10,Oct,4,2025-10,False
NK036,2025-12-27,Europe,UK,Retail Store,KD 18,Basketball,Men,13,Blue,2,160,10,144.0,288.0,193.95,94.05,4.0,No,PayPal,12,Dec,4,2025-12,False
NK037,2025-08-01,Europe,France,Wholesale,Vomero 18,Running,Men,7,Blue,1,170,25,127.5,127.5,89.02,38.48,3.5,No,Credit Card,8,Aug,3,2025-08,False
NK038,2025-01-12,Asia-Pacific,Japan,Wholesale,Air Max 90,Lifestyle,Unisex,12,Blue,1,140,15,119.0,119.0,79.42,39.58,4.5,No,Credit Card,1,Jan,1,2025-01,False
NK039,2025-05-25,Europe,UK,Online,Dunk Low,Lifestyle,Unisex,7,Grey,1,125,5,118.75,118.75,67.92,50.83,5.0,No,Debit Card,5,May,2,2025-05,False
NK040,2025-10-16,Asia-Pacific,India,Retail Store,Pegasus 41,Running,Unisex,9,White,1,160,20,128.0,128.0,67.23,60.77,4.5,No,PayPal,10,Oct,4,2025-10,False
NK041,2025-01-06,Asia-Pacific,South Korea,Retail Store,LeBron 22,Basketball,Unisex,10,Red,1,190,5,180.5,180.5,95.9,84.6,4.5,No,UPI,1,Jan,1,2025-01,False
NK042,2025-07-24,Asia-Pacific,South Korea,Online,Pegasus 41,Running,Women,6,Blue,1,150,10,135.0,135.0,95.96,39.04,4.0,No,Credit Card,7,Jul,3,2025-07,False
NK043,2025-08-10,Europe,France,Online,Free Metcon 6,Training,Men,11,Grey,2,130,5,123.5,247.0,176.26,70.74,4.5,No,UPI,8,Aug,3,2025-08,False
NK044,2025-12-13,Middle East & Africa,South Africa,Wholesale,Air Force 1,Lifestyle,Men,10,Black,1,120,5,114.0,114.0,68.22,45.78,5.0,No,Debit Card,12,Dec,4,2025-12,False
NK045,2025-12-06,Europe,Spain,Wholesale,Invincible 3,Running,Women,7,Black,3,190,0,190.0,570.0,352.5,217.5,4.5,No,UPI,12,Dec,4,2025-12,False
NK046,2025-04-03,North America,Canada,Retail Store,LeBron 22,Basketball,Men,9,Grey,3,200,5,190.0,570.0,350.43,219.57,4.5,No,Credit Card,4,Apr,2,2025-04,False
NK047,2025-08-06,North America,USA,Online,Vomero 18,Running,Men,13,Green,3,150,5,142.5,427.5,233.31,194.19,4.0,No,PayPal,8,Aug,3,2025-08,False
NK048,2025-07-26,Europe,Germany,Retail Store,Cortez,Lifestyle,Women,6,Grey,2,100,15,85.0,170.0,94.67,75.33,3.5,No,Credit Card,7,Jul,3,2025-07,False
NK049,2025-10-21,Asia-Pacific,Australia,Online,Air Force 1,Lifestyle,Men,11,Grey,1,140,15,119.0,119.0,82.52,36.48,4.0,No,UPI,10,Oct,4,2025-10,False
NK050,2025-03-08,North America,USA,Retail Store,Air Max 90,Lifestyle,Men,10,White,1,130,5,123.5,123.5,75.93,47.57,4.5,No,UPI,3,Mar,1,2025-03,False
NK051,2025-11-11,North America,USA,Online,Giannis Immortality 4,Basketball,Unisex,9,Green,2,110,20,88.0,176.0,100.12,75.88,4.0,No,Debit Card,11,Nov,4,2025-11,False
NK052,2025-08-31,Latin America,Chile,Online,Dunk Low,Lifestyle,Unisex,10,White,3,145,0,145.0,435.0,233.18,201.82,4.5,No,PayPal,8,Aug,3,2025-08,False
NK053,2025-01-26,Latin America,Chile,Retail Store,Cortez,Lifestyle,Men,10,Blue,3,120,10,108.0,324.0,204.56,119.44,4.5,No,Debit Card,1,Jan,1,2025-01,False
NK054,2025-12-22,Europe,Spain,Retail Store,Air Max 90,Lifestyle,Men,6,White,1,150,5,142.5,142.5,78.5,64.0,4.5,No,Debit Card,12,Dec,4,2025-12,False
NK055,2025-02-07,Europe,France,Online,Air Max 270,Lifestyle,Unisex,6,Green,1,150,0,150.0,150.0,81.5,68.5,5.0,No,PayPal,2,Feb,1,2025-02,False
NK056,2025-08-17,North America,Canada,Retail Store,Air Max 270,Lifestyle,Unisex,9,Grey,2,180,0,180.0,360.0,246.81,113.19,4.0,No,UPI,8,Aug,3,2025-08,False
NK057,2025-10-15,Europe,France,Retail Store,KD 18,Basketball,Women,5,Black,1,150,15,127.5,127.5,84.5,43.0,4.5,No,Debit Card,10,Oct,4,2025-10,False
NK058,2025-06-28,Europe,Germany,Online,Air Max 270,Lifestyle,Women,5,Blue,1,160,10,144.0,144.0,84.47,59.53,4.5,No,UPI,6,Jun,2,2025-06,False
NK059,2025-11-18,North America,Canada,Retail Store,Sabrina 3,Basketball,Women,10,Green,1,140,15,119.0,119.0,66.75,52.25,4.5,No,Debit Card,11,Nov,4,2025-11,False
NK060,2025-06-22,North America,Canada,Online,Sabrina 3,Basketball,Women,8,Blue,1,140,10,126.0,126.0,75.83,50.17,4.5,No,UPI,6,Jun,2,2025-06,False
NK061,2025-12-29,North America,Canada,Retail Store,Dunk Low,Lifestyle,Women,13,Black,1,145,5,137.75,137.75,79.56,58.19,3.5,No,PayPal,12,Dec,4,2025-12,False
NK062,2025-04-02,North America,Mexico,Retail Store,Giannis Immortality 4,Basketball,Women,12,Black,2,100,20,80.0,160.0,88.08,71.92,5.0,No,Debit Card,4,Apr,2,2025-04,False
NK063,2025-02-24,North America,Mexico,Retail Store,KD 18,Basketball,Men,13,Grey,3,160,0,160.0,480.0,333.11,146.89,4.5,No,UPI,2,Feb,1,2025-02,False
NK064,2025-07-29,Asia-Pacific,Australia,Retail Store,Pegasus 41,Running,Women,7,Green,3,140,10,126.0,378.0,222.74,155.26,4.0,No,Debit Card,7,Jul,3,2025-07,False
NK065,2025-02-18,North America,Mexico,Wholesale,Vomero 18,Running,Women,8,Green,2,170,10,153.0,306.0,159.92,146.08,5.0,No,Debit Card,2,Feb,1,2025-02,False
NK066,2025-11-14,Europe,Spain,Retail Store,Structure 25,Running,Men,12,Red,1,150,5,142.5,142.5,96.89,45.61,3.5,No,UPI,11,Nov,4,2025-11,False
NK067,2025-09-21,Europe,Spain,Online,Cortez,Lifestyle,Women,7,Green,1,90,5,85.5,85.5,47.11,38.39,4.5,No,UPI,9,Sep,3,2025-09,False
NK068,2025-09-12,North America,USA,Retail Store,Invincible 3,Running,Men,9,Red,1,190,5,180.5,180.5,103.03,77.47,5.0,No,UPI,9,Sep,3,2025-09,False
NK069,2025-06-14,North America,Canada,Online,Structure 25,Running,Men,6,White,2,160,10,144.0,288.0,205.21,82.79,4.0,No,Credit Card,6,Jun,2,2025-06,False
NK070,2025-01-11,North America,Canada,Retail Store,Air Force 1,Lifestyle,Men,11,Blue,3,130,10,117.0,351.0,239.9,111.1,5.0,No,Credit Card,1,Jan,1,2025-01,False
NK071,2025-07-21,Europe,France,Wholesale,KD 18,Basketball,Women,5,White,2,160,20,128.0,256.0,140.29,115.71,3.5,No,Credit Card,7,Jul,3,2025-07,False
NK072,2025-01-29,Asia-Pacific,Singapore,Retail Store,Structure 25,Running,Women,10,White,2,130,0,130.0,260.0,186.39,73.61,4.5,No,UPI,1,Jan,1,2025-01,False
NK073,2025-12-08,North America,USA,Online,Metcon 10,Training,Men,12,White,2,140,10,126.0,252.0,136.41,115.59,4.5,No,UPI,12,Dec,4,2025-12,False
NK074,2025-11-06,Asia-Pacific,Australia,Online,Invincible 3,Running,Men,7,White,1,190,5,180.5,180.5,95.56,84.94,3.5,No,UPI,11,Nov,4,2025-11,False
NK075,2025-03-10,Europe,UK,Online,LeBron 22,Basketball,Women,7,Red,1,200,20,160.0,160.0,113.73,46.27,5.0,No,UPI,3,Mar,1,2025-03,False
NK076,2025-05-09,Asia-Pacific,India,Retail Store,LeBron 22,Basketball,Women,13,Red,1,200,10,180.0,180.0,106.26,73.74,5.0,No,UPI,5,May,2,2025-05,False
NK077,2025-01-17,Middle East & Africa,Saudi Arabia,Retail Store,Giannis Immortality 4,Basketball,Women,12,Red,1,90,5,85.5,85.5,60.15,25.35,4.5,No,UPI,1,Jan,1,2025-01,False
NK078,2025-12-31,Asia-Pacific,Japan,Online,Invincible 3,Running,Women,11,Black,2,170,20,136.0,272.0,179.15,92.85,4.0,No,UPI,12,Dec,4,2025-12,False
NK079,2025-03-23,North America,Mexico,Retail Store,Free Metcon 6,Training,Unisex,6,Red,1,120,0,120.0,120.0,72.52,47.48,5.0,No,Credit Card,3,Mar,1,2025-03,False
NK080,2025-07-02,Europe,Italy,Retail Store,Cortez,Lifestyle,Unisex,8,Grey,2,110,0,110.0,220.0,129.35,90.65,4.5,No,UPI,7,Jul,3,2025-07,False
NK081,2025-09-08,Latin America,Chile,Online,Air Max 90,Lifestyle,Men,7,Red,1,150,5,142.5,142.5,102.32,40.18,5.0,No,Debit Card,9,Sep,3,2025-09,False
NK082,2025-09-23,North America,Canada,Online,KD 18,Basketball,Women,9,Black,3,160,10,144.0,432.0,309.66,122.34,4.0,No,Credit Card,9,Sep,3,2025-09,False
NK083,2025-03-14,North America,Mexico,Online,KD 18,Basketball,Women,9,Grey,1,160,5,152.0,152.0,79.58,72.42,4.0,No,UPI,3,Mar,1,2025-03,False
NK084,2025-07-18,Latin America,Colombia,Online,Invincible 3,Running,Men,10,Grey,4,180,20,144.0,0.0,0.0,0.0,5.0,Yes,Credit Card,7,Jul,3,2025-07,True
NK085,2025-02-23,North America,Mexico,Online,LeBron 22,Basketball,Women,8,White,2,190,25,142.5,285.0,193.84,91.16,4.5,No,Credit Card,2,Feb,1,2025-02,False
NK086,2025-03-30,Asia-Pacific,India,Wholesale,Air Force 1,Lifestyle,Unisex,13,Red,1,120,15,102.0,102.0,57.61,44.39,4.0,No,Debit Card,3,Mar,1,2025-03,False
NK087,2025-08-14,Middle East & Africa,Egypt,Online,Air Force 1,Lifestyle,Men,9,White,3,110,5,104.5,313.5,209.12,104.38,4.5,No,PayPal,8,Aug,3,2025-08,False
NK088,2025-12-15,Latin America,Chile,Retail Store,Sabrina 3,Basketball,Men,6,Red,1,130,10,117.0,0.0,0.0,0.0,5.0,Yes,UPI,12,Dec,4,2025-12,True
NK089,2025-02-14,Latin America,Brazil,Wholesale,Structure 25,Running,Men,10,Blue,1,130,0,130.0,130.0,76.28,53.72,4.0,No,PayPal,2,Feb,1,2025-02,False
NK090,2025-03-23,Europe,Italy,Retail Store,Free Metcon 6,Training,Women,11,White,1,130,0,130.0,130.0,86.93,43.07,4.0,No,UPI,3,Mar,1,2025-03,False
NK091,2025-11-22,Asia-Pacific,Australia,Retail Store,Air Max 90,Lifestyle,Women,6,Blue,1,130,10,117.0,117.0,79.09,37.91,4.5,No,PayPal,11,Nov,4,2025-11,False
NK092,2025-07-12,Latin America,Argentina,Retail Store,Sabrina 3,Basketball,Men,6,Green,1,130,0,130.0,130.0,86.01,43.99,5.0,No,PayPal,7,Jul,3,2025-07,False
NK093,2025-03-20,Asia-Pacific,Australia,Online,Dunk Low,Lifestyle,Men,6,Green,1,125,0,125.0,125.0,73.09,51.91,4.5,No,PayPal,3,Mar,1,2025-03,False
NK094,2025-03-25,Europe,France,Online,Air Force 1,Lifestyle,Unisex,12,Blue,1,130,15,110.5,110.5,59.28,51.22,4.5,No,PayPal,3,Mar,1,2025-03,False
NK095,2025-01-15,Asia-Pacific,Japan,Online,Pegasus 41,Running,Men,13,Blue,1,130,10,117.0,117.0,68.35,48.65,4.5,No,Debit Card,1,Jan,1,2025-01,False
NK096,2025-02-19,Middle East & Africa,Egypt,Online,LeBron 22,Basketball,Women,9,Blue,1,190,0,190.0,190.0,116.04,73.96,5.0,No,Credit Card,2,Feb,1,2025-02,False
NK097,2025-11-15,Europe,Spain,Online,Cortez,Lifestyle,Women,5,Grey,1,90,10,81.0,81.0,51.17,29.83,3.5,No,Debit Card,11,Nov,4,2025-11,False
NK098,2025-09-24,Middle East & Africa,Saudi Arabia,Retail Store,KD 18,Basketball,Men,13,Green,2,160,15,136.0,272.0,183.86,88.14,4.0,No,Debit Card,9,Sep,3,2025-09,False
NK099,2025-03-18,North America,Canada,Online,Vomero 18,Running,Men,11,White,1,160,5,152.0,152.0,81.71,70.29,4.5,No,UPI,3,Mar,1,2025-03,False
NK100,2025-03-14,North America,Mexico,Retail Store,Air Max 270,Lifestyle,Men,12,White,3,160,0,160.0,480.0,306.7,173.3,4.5,No,UPI,3,Mar,1,2025-03,False
NK101,2025-01-03,Latin America,Chile,Retail Store,Cortez,Lifestyle,Women,6,Green,1,100,10,90.0,90.0,60.91,29.09,4.5,No,UPI,1,Jan,1,2025-01,False
NK102,2025-07-02,Latin America,Colombia,Retail Store,Metcon 10,Training,Women,6,Red,1,170,5,161.5,161.5,109.49,52.01,4.0,No,PayPal,7,Jul,3,2025-07,False
NK103,2025-12-19,Europe,Italy,Online,Metcon 10,Training,Unisex,12,Blue,1,150,15,127.5,127.5,67.08,60.42,4.5,No,UPI,12,Dec,4,2025-12,False
NK104,2025-12-20,Middle East & Africa,Egypt,Retail Store,KD 18,Basketball,Women,8,Green,1,150,10,135.0,135.0,70.99,64.01,4.5,No,PayPal,12,Dec,4,2025-12,False
NK105,2025-10-09,Middle East & Africa,Egypt,Online,Free Metcon 6,Training,Women,6,Grey,2,140,10,126.0,252.0,142.92,109.08,5.0,No,Debit Card,10,Oct,4,2025-10,False
NK106,2025-11-22,North America,USA,Online,KD 18,Basketball,Unisex,6,Red,1,180,10,162.0,162.0,103.45,58.55,4.5,No,Credit Card,11,Nov,4,2025-11,False
NK107,2025-04-03,Asia-Pacific,Japan,Retail Store,Structure 25,Running,Men,9,Blue,1,140,20,112.0,112.0,65.65,46.35,4.5,No,PayPal,4,Apr,2,2025-04,False
NK108,2025-11-01,North America,USA,Retail Store,Metcon 10,Training,Women,10,Blue,1,140,10,126.0,126.0,78.96,47.04,4.5,No,Credit Card,11,Nov,4,2025-11,False
NK109,2025-09-02,North America,Mexico,Online,KD 18,Basketball,Women,8,Grey,2,160,0,160.0,320.0,180.78,139.22,4.5,No,UPI,9,Sep,3,2025-09,False
NK110,2025-10-21,Middle East & Africa,Egypt,Online,KD 18,Basketball,Men,8,White,1,150,10,135.0,135.0,84.29,50.71,4.0,No,UPI,10,Oct,4,2025-10,False
NK111,2025-10-17,North America,USA,Retail Store,Air Max 270,Lifestyle,Unisex,6,White,2,170,10,153.0,306.0,169.96,136.04,4.5,No,PayPal,10,Oct,4,2025-10,False
NK112,2025-05-22,Asia-Pacific,Singapore,Retail Store,Structure 25,Running,Women,6,White,2,130,15,110.5,221.0,124.45,96.55,4.5,No,Credit Card,5,May,2,2025-05,False
NK113,2025-04-08,Europe,Spain,Retail Store,Air Max 90,Lifestyle,Unisex,7,Green,1,120,0,120.0,120.0,65.02,54.98,5.0,No,PayPal,4,Apr,2,2025-04,False
NK114,2025-03-17,Europe,Germany,Online,Invincible 3,Running,Women,13,Black,1,200,10,180.0,180.0,105.29,74.71,4.0,No,Debit Card,3,Mar,1,2025-03,False
NK115,2025-03-26,North America,Canada,Wholesale,Giannis Immortality 4,Basketball,Unisex,9,Grey,2,110,10,99.0,198.0,122.78,75.22,4.5,No,Debit Card,3,Mar,1,2025-03,False
NK116,2025-12-30,Europe,France,Retail Store,Air Max 270,Lifestyle,Unisex,11,Grey,2,160,10,144.0,288.0,196.59,91.41,5.0,No,Credit Card,12,Dec,4,2025-12,False
NK117,2025-02-21,Europe,France,Wholesale,LeBron 22,Basketball,Women,12,White,1,210,5,199.5,199.5,123.13,76.37,4.5,No,UPI,2,Feb,1,2025-02,False
NK118,2025-06-08,Middle East & Africa,South Africa,Online,Air Max 90,Lifestyle,Women,12,Blue,2,150,0,150.0,300.0,166.89,133.11,4.5,No,Credit Card,6,Jun,2,2025-06,False
NK119,2025-10-04,Asia-Pacific,South Korea,Online,Vomero 18,Running,Men,12,White,1,160,0,160.0,160.0,103.62,56.38,4.5,No,PayPal,10,Oct,4,2025-10,False
NK120,2025-06-16,Europe,Germany,Retail Store,Structure 25,Running,Women,5,White,2,150,5,142.5,285.0,196.72,88.28,4.0,No,Credit Card,6,Jun,2,2025-06,False
NK121,2025-06-09,Latin America,Chile,Online,Giannis Immortality 4,Basketball,Men,13,Green,1,80,0,80.0,80.0,45.28,34.72,4.0,No,Credit Card,6,Jun,2,2025-06,False
NK122,2025-10-07,Asia-Pacific,South Korea,Retail Store,Invincible 3,Running,Women,10,White,2,200,10,180.0,360.0,188.34,171.66,5.0,No,UPI,10,Oct,4,2025-10,False
NK123,2025-07-15,North America,USA,Retail Store,Dunk Low,Lifestyle,Men,9,Blue,1,125,5,118.75,118.75,69.91,48.84,4.0,No,Debit Card,7,Jul,3,2025-07,False
NK124,2025-08-03,Asia-Pacific,South Korea,Retail Store,Vomero 18,Running,Women,6,Green,1,160,5,152.0,152.0,99.39,52.61,4.5,No,UPI,8,Aug,3,2025-08,False
NK125,2025-02-24,Middle East & Africa,Egypt,Online,Free Metcon 6,Training,Men,12,Blue,1,120,0,120.0,120.0,72.54,47.46,4.5,No,Debit Card,2,Feb,1,2025-02,False
NK126,2025-10-13,Europe,Spain,Online,Invincible 3,Running,Men,12,Black,2,190,15,161.5,323.0,183.7,139.3,4.5,No,Debit Card,10,Oct,4,2025-10,False
NK127,2025-09-15,Asia-Pacific,Australia,Online,Dunk Low,Lifestyle,Women,7,Blue,1,115,5,109.25,109.25,65.13,44.12,4.0,No,PayPal,9,Sep,3,2025-09,False
NK128,2025-01-12,Europe,UK,Online,Air Max 270,Lifestyle,Unisex,7,Green,1,160,10,144.0,144.0,86.14,57.86,5.0,No,PayPal,1,Jan,1,2025-01,False
NK129,2025-05-10,North America,Mexico,Online,Vomero 18,Running,Unisex,13,White,1,180,0,180.0,180.0,99.85,80.15,4.0,No,PayPal,5,May,2,2025-05,False
NK130,2025-01-25,Asia-Pacific,Singapore,Online,Dunk Low,Lifestyle,Men,6,Blue,1,145,15,123.25,123.25,87.58,35.67,4.0,No,PayPal,1,Jan,1,2025-01,False
NK131,2025-11-12,Asia-Pacific,Singapore,Online,Giannis Immortality 4,Basketball,Women,11,Red,1,90,5,85.5,85.5,51.98,33.52,4.5,No,UPI,11,Nov,4,2025-11,False
NK132,2025-03-24,Europe,UK,Online,Air Max 270,Lifestyle,Men,7,Blue,2,160,15,136.0,272.0,157.62,114.38,4.5,No,UPI,3,Mar,1,2025-03,False
NK133,2025-06-27,Latin America,Chile,Retail Store,Structure 25,Running,Men,7,Red,2,140,0,140.0,280.0,193.09,86.91,4.5,No,UPI,6,Jun,2,2025-06,False
NK134,2025-08-18,Europe,Spain,Retail Store,Pegasus 41,Running,Men,11,Grey,1,140,0,140.0,0.0,0.0,0.0,4.0,Yes,Credit Card,8,Aug,3,2025-08,True
NK135,2025-07-07,Asia-Pacific,Australia,Online,Air Max 270,Lifestyle,Unisex,11,Grey,1,170,25,127.5,127.5,69.1,58.4,4.5,No,Credit Card,7,Jul,3,2025-07,False
NK136,2025-01-21,North America,Canada,Wholesale,Dunk Low,Lifestyle,Unisex,5,Black,1,125,5,118.75,118.75,72.66,46.09,5.0,No,UPI,1,Jan,1,2025-01,False
NK137,2025-09-21,North America,Mexico,Online,Sabrina 3,Basketball,Men,5,Blue,2,130,15,110.5,221.0,136.82,84.18,4.5,No,PayPal,9,Sep,3,2025-09,False
NK138,2025-04-19,Asia-Pacific,Australia,Online,Pegasus 41,Running,Men,9,Blue,1,150,0,150.0,150.0,100.39,49.61,4.5,No,Debit Card,4,Apr,2,2025-04,False
NK139,2025-09-18,Middle East & Africa,UAE,Retail Store,KD 18,Basketball,Women,10,Blue,1,160,10,144.0,0.0,0.0,0.0,5.0,Yes,UPI,9,Sep,3,2025-09,True
NK140,2025-04-15,Asia-Pacific,India,Wholesale,Structure 25,Running,Women,6,White,1,140,0,140.0,140.0,80.1,59.9,5.0,No,Credit Card,4,Apr,2,2025-04,False
NK141,2025-07-02,North America,USA,Online,Structure 25,Running,Women,13,White,1,140,0,140.0,140.0,75.9,64.1,5.0,No,Credit Card,7,Jul,3,2025-07,False
NK142,2025-04-29,Asia-Pacific,India,Online,Pegasus 41,Running,Women,9,Grey,1,130,10,117.0,117.0,79.93,37.07,4.0,No,PayPal,4,Apr,2,2025-04,False
NK143,2025-12-11,Asia-Pacific,South Korea,Online,KD 18,Basketball,Men,9,Blue,1,160,0,160.0,160.0,107.3,52.7,5.0,No,Credit Card,12,Dec,4,2025-12,False
NK144,2025-07-10,North America,Canada,Retail Store,Air Force 1,Lifestyle,Women,11,Blue,1,140,10,126.0,126.0,78.33,47.67,4.5,No,UPI,7,Jul,3,2025-07,False
NK145,2025-08-12,North America,Canada,Retail Store,Cortez,Lifestyle,Men,9,Green,3,90,15,76.5,229.5,132.1,97.4,4.5,No,Credit Card,8,Aug,3,2025-08,False
